File,cSpell message,Result type,Template,Issue,notes
_data/external/_wins-data.json,Bubar: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Stubbs: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Prashant: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Miyamoto: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Mikesell: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,foodoasis: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Railstats: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Malstead: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Shoutout: Unknown word. (2),False Positive,words,,
_data/external/_wins-data.json,Sharwari: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Gothe: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Angelinos: Unknown word. (2),False Positive,words,,
_data/external/_wins-data.json,Angelenos: Unknown word. (2),False Positive,words,,
_data/external/_wins-data.json,Kendis: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Niven: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Prasad: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Homebot: Unknown word. (2),False Positive,,,
_data/external/_wins-data.json,automations: Unknown word. (2),False Positive,words,,
_data/external/_wins-data.json,Automations: Unknown word. (2),False Positive,words,,
_data/external/_wins-data.json,evanyang: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Docu: Unknown word. (2),False Positive,,,
_data/external/_wins-data.json,Basudhara: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Symplr: Unknown word. (2),False Positive,,,
_data/external/_wins-data.json,Chali: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Prasertsri: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Stoyanoff: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Hoang: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,bootcamp: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Hana: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Lumanu: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Swerdlow: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Zhou: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Walcoff: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Renema: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Cacho: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Shruti: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Mukherjee: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Saumil: Unknown word. (2),False Positive,ignoreWords,,
_data/external/_wins-data.json,Dhankar: Unknown word. (2),False Positive,ignoreWords,,
_data/external/github-data.json,"""workfor"": Unknown word. [Ln 392, Col 14]",False Positive,,,
_data/external/vrms_data.json,"""hacknight"": Unknown word.",False Positive,words,,
_data/external/vrms_data.json,"""scaleable"": Unknown word.",False Positive,words,,
_data/external/vrms_data.json,"""Cvjxgfi"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/external/vrms_data.json,"""hfla"": Unknown word.",False Positive,,,
_data/external/vrms_data.json,"""DTLA"": Unknown word.",False Positive,ignoreWords,,part of a google drive url
_data/external/vrms_data.json,"""wireframes"": Unknown word.",False Positive,words,,
_data/external/vrms_data.json,"""Photoshop"": Unknown word.",False Positive,ignoreWords,,part of a google drive url
_data/external/vrms_data.json,"""Nyjj"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/external/vrms_data.json,"""Fgfi"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/external/vrms_data.json,"""Eyoy"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/external/vrms_data.json,"""ahxi"": Unknown word.",False Positive,ignoreWords,,
_data/external/vrms_data.json,"""Zkox"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/external/vrms_data.json,"""LADOT"": Unknown word.",False Positive,ignoreWords,,
_data/external/vrms_data.json,"""Fgfi"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/external/vrms_data.json,"""foodoasis"": Unknown word.",False Positive,ignoreWords,,
_data/external/vrms_data.json,"""Ckpc"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/external/vrms_data.json,"""Djrhft"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/external/vrms_data.json,"""devs"": Unknown word.",False Positive,,,
_data/external/vrms_data.json,"""Zqiq"": Unknown word.",False Positive,,,part of a Google Drive Url or Google Drive ID
_data/internal/accomplishments.yml,"""Sensorica"": Unknown word.",False Positive,,,
_data/internal/accomplishments.yml,"""ESMT"": Unknown word.",False Positive,,,
_data/internal/accomplishments.yml,"""Makery"": Unknown word.",False Positive,,,
_data/internal/accomplishments.yml,"""writeforall"": Unknown word.",False Positive,ignoreWords,,
_data/internal/accomplishments.yml,"""Exploretech"": Unknown word.",False Positive,ignoreWords,,
_data/internal/communities/data-science.yml,"""López"": Unknown word.",False Positive,ignoreWords,,
_data/internal/communities/engineering.yml,"""Arany"": Unknown word.",False Positive,ignoreWords,,
_data/internal/communities/engineering.yml,"""Abundis"": Unknown word.",False Positive,ignoreWords,,
_data/internal/communities/engineering.yml,"""Heejung"": Unknown word.",False Positive,ignoreWords,,
_data/internal/communities/ops.yml,"""Ebueng"": Unknown word[In 16]",False Positive,ignoreWords,,
_data/internal/communities/ops.yml,Chelsey: Unknown word.  [ln 16],False Positive,ignoreWords,,
_data/internal/communities/ops.yml,Pelayo: Unknown word.  [ln 22],False Positive,ignoreWords,,
_data/internal/communities/ops.yml,Nayan: Unknown word.  [ln 34],False Positive,ignoreWords,,
_data/internal/communities/ops.yml,Bhatt: Unknown word.  [ln 34],False Positive,ignoreWords,,
_data/internal/communities/ops.yml,Zoey: Unknown word. [ln 40],False Positive,ignoreWords,,
_data/internal/communities/ops.yml,Zhang: Unknown word. [ln 40],False Positive,ignoreWords,,
_data/internal/communities/ui-ux.yml,"""uiux"": Unknown word.",False Positive,,,
_data/internal/communities/ui-ux.yml,"""Aparna"": Unknown word.",False Positive,ignoreWords,,
_data/internal/communities/ui-ux.yml,"""Gopal"": Unknown word.",False Positive,ignoreWords,,
_data/internal/communities/ui-ux.yml,"""Gwon"": Unknown word.",False Positive,ignoreWords,,
_data/internal/partners.yml,"""ndica"": Unknown word.[Ln 68, Col 34]",False Positive,ignoreWords,,
_data/internal/partners.yml,"""Ballotpedia"": Unknown word. [Ln 72, Col 9]",False Positive,ignoreWords,,
_data/internal/partners.yml,"""enciv"": Unknown word.[Ln 78, Col 34]",False Positive,ignoreWords,,
_data/internal/press/la_times.yml,"""hackathon"": Unknown word.[Ln 3, Col 17]",False Positive,ignoreWords,,
_data/internal/privacy_policy.yml,"""Hotjar"": Unknown word",False Positive,ignoreWords,,
_data/internal/privacy_policy.yml,"""aboutcookies"":Unknown word",False Positive,ignoreWords,,
_data/internal/privacy_policy.yml,"""Maxella"": Unknown word",False Positive,ignoreWords,,
_data/internal/sponsors.yml,"""laci"": Unknown word. [Ln 3, Col 36]",False Positive,,,
_data/internal/sponsors.yml,"""Sonder"": Unknown word. [Ln 11, Col 15]",False Positive,ignoreWords,,
_data/internal/sponsors.yml,"""sonder"": Unknown word. [Ln 13, Col 40]",False Positive,ignoreWords,,
_data/internal/testimonials.yml,"""Garcetti"": Unknown word.",False Positive,,,
_data/internal/testimonials.yml,"""garcetti"": Unknown word.",False Positive,,,
_data/internal/toolkitresources.yml,"""wireframes"": Unknown word. [Ln 2, Col 53]",False Positive,words,,
_data/internal/toolkitresources.yml,"""Hackfor"". Unknown word. [Ln 26, Col 16]",False Positive,,,
_design-system/styles/colors.md,"""hexcodes"": Unknown word. [Ln 7, Col 60]",False Positive,,,
_design-system/styles/typography.md,"""typescales"": Unknown word. [ln 7]",False Positive,,,
_guide-pages/2FA.html,"""Authy"": Unknown word. [ln 36]",False Positive,ignoreWords,,
_guide-pages/2FA.html,"""Authy"": Unknown word. [ln 40]",False Positive,ignoreWords,,
_guide-pages/2FA.html,"""Authy"": Unknown word. [ln 40]",False Positive,ignoreWords,,
_guide-pages/2FA.html,"""hackforla"": Unknown word. [ln 75]",False Positive,,,
_guide-pages/github-issues.html,"""Nedivi"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/github-issues.html,"""Harish"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/github-issues.html,"""checkmarks"": Unknown word.",False Positive,words,,
_guide-pages/github-issues.html,"""resumé"": Unknown word.",False Positive,Misspelling,,
_guide-pages/github-issues.html,"""resumés"": Unknown word.",False Positive,Misspelling,,
_guide-pages/how-to-set-reminders-in-slack.md,"""amet"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""consectetur"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""adipiscing"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""elit"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""eiusmod"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""tempor"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""incididunt"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""labore"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""dolore"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""aliqua"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""enim"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""veniam"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""quis"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""nostrud"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""ullamco"": Unknown word.",False Positive,lorum ipsum,,
